,ADX,MACD,CCI,RSI
2020-04-01,38.51180276123628,17.136649169709973,21.304721330426172,55.42410241407576
2020-05-01,26.085545407188874,7.8983749043542995,-81.72140057200119,44.11055118184433
2020-06-01,30.07230008276609,-5.7743927233909735,-62.8624862874197,42.21289951047333
2020-07-01,30.87006833095663,11.856940870687154,22.638009117794184,50.81883758733392
2020-08-01,36.31019312374197,16.52666086670571,-52.59485541039615,48.68606851240134
2020-09-01,30.798044973851795,-17.978078731978247,-60.149085631188974,42.11373181692062
2020-10-01,34.669242323036286,-47.92285283115192,-57.92976031129651,35.48361009147078
2020-11-01,34.806882791553036,-35.481001869762686,-75.87856900542026,35.944895926071595
2020-12-01,34.64753518291208,-33.03207525769589,-57.347979761858966,35.541058158327345
2021-01-01,30.72649665645623,-26.355679232736968,-52.005812479925964,38.425507290187106
2021-02-01,28.56369864187554,-15.148705267690772,-27.043430778458546,42.77917915524184
2021-03-01,32.47741584241646,-16.137329712529162,-65.88158569229694,39.42454625872253
